gvkey,tic,cusip,cik,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001000,AE.2,000032102,,P,01,LU,25881,23369,1970-11-13,1978-06-30
001001,AMFD.,000165100,0000723576,P,01,LU,10015,6398,1983-09-20,1986-07-31
001002,AAIC.1,000352104,0001306124,C,01,LC,10023,22159,1972-12-14,1973-06-05
001003,ANTQ,000354100,0000730052,C,01,LU,10031,6672,1983-12-07,1989-08-16
001004,AIR,000361105,0000001750,P,01,LU,54594,20000,1972-04-24,E
001005,ABA.2,000370106,,C,01,LU,61903,11,1973-01-31,1983-01-31
001007,4135B,000774109,0000001882,P,01,LU,10058,20,1979-01-31,1984-09-28
001007,4135B,000774109,0000001882,C,00X,LU,10058,20,1973-10-01,1979-01-30
001008,ABMC.,000775106,,P,01,LC,10066,6331,1983-08-25,1987-02-26
001009,ABSI.1,000781104,0000313368,C,01,LC,10074,5271,1982-01-18,1996-03-13
001010,4165A,00099V004,0000910627,C,00X,LU,10006,22156,1950-05-01,1962-01-30
001010,4165A,00099V004,0000910627,P,01,LU,10006,22156,1962-01-31,1984-06-28
001011,ACSE,000872309,0000702511,P,01,LC,10082,5793,1983-03-21,1995-09-28
001012,6927B,000874107,0000002134,P,01,LU,10103,52,1978-01-31,1989-12-29
001013,ADCT.1,000886309,0000061478,P,01,LU,50906,2902,1979-03-16,2010-12-31
001015,4327B,000893107,0000354609,P,01,LU,66405,5204,1982-01-29,1986-10-31
001016,AECE,001015106,0000317539,C,00X,LC,10146,314,1973-11-01,1977-11-29
001016,AECE,001015106,0000317539,P,01,LC,10146,314,1977-11-30,1988-04-26
001017,AELNA,001030105,0000004911,P,01,LC,10154,81,1972-12-14,1996-02-29
001018,2938B,001032101,0000002638,C,00X,LU,10162,88,1973-07-01,1979-01-30
001018,2938B,001032101,0000002638,C,01,LU,10162,88,1979-01-31,1981-03-04
001019,AFAP,001038108,0000002668,C,01,LC,10189,93,1972-12-14,1988-02-09
001020,5548C,001054931,0000007668,P,02,LC,68806,100,1972-12-14,1988-04-05
001021,IWKS,001058205,0000319126,P,01,LU,10218,109,1980-10-14,1999-03-19
